name,occupation,summary,birthday,deathday
Jake Gyllenhaal,Actor,Donnie Darko,19-Dec-1980,-
Maggie Gyllenhaal,Actor,Secretary,16-Nov-1977,-
Stephen Gyllenhaal,Film Director,Homegrown,04-Oct-1949,-
Pehr Gyllenhammar,Business,"CEO of Volvo, 1971-90",28-Apr-1935,-
Greta Gynt,Actor,The Dark Eyes of London,15-Nov-1916,02-Apr-2000
Brion Gysin,Artist,Inventor of the Dreamachine,19-Jan-1916,13-Jul-1986
Ferenc Gyurcsány,Head of State,"Prime Minister of Hungary, 2004-09",04-Jun-1961,-
The GZA,Rapper,Wu-Tang Clan,22-Aug-1966,-
Bruce Haack,Musician,The Electric Lucifer,04-May-1932,26-Sep-1988
Haakon I Adalsteinsfostre,Royalty,"King of Norway, 946-61 AD",c. 920 AD,961 AD
Haakon IV Haakonsson,Royalty,"King of Norway, 1217-63",1204,15-Dec-1263
Geir Haarde,Head of State,"Prime Minister of Iceland, 2006-09",08-Apr-1951,-
David W. Haas,Business,"Chairman, The William Penn Foundation",c. 1956,-
Hugo Haas,Actor,King Solomon's Mines,18-Feb-1901,01-Dec-1968
Lukas Haas,Actor,Amish boy in Witness,16-Apr-1976,-
Philip Haas,Film Director,Angels and Insects,06-Aug-1954,-
Thomas W. Haas,Business,"Board of Directors, Rohm & Haas",c. 1956,-
Hugo Haase,Politician,"German parliamentarian, Marxist, pacifist",29-Sep-1863,07-Nov-1919
Richard Haass,Government,"President, Council on Foreign Relations",28-Jul-1951,-
Trygve Haavelmo,Economist,Economic forecasting,13-Dec-1911,28-Jul-1999
George Habash,Activist,Founder of the PFLP,02-Aug-1926,26-Jan-2008
Jeff Habay,Politician,"Pennsylvania State Legislator, 1996-2006",09-May-1966,-
Fritz Haber,Chemist,"Synthesized ammonia, chemical warfare",09-Dec-1868,29-Jan-1934
Judith R. Haberkorn,Business,Former Bell Atlantic executive,c. 1947,-
Jürgen Habermas,Philosopher,The Theory of Communicative Action,18-Jun-1929,-
"H. William Habermeyer, Jr.",Business,CEO of Progress Energy Florida,1942,-
Philip C. Habib,Diplomat,"US Ambassador to South Korea, 1971-74",25-Feb-1920,24-May-1992
B. J. Habibie,Head of State,"President of Indonesia, 1998-99",25-Jun-1936,-
Matthias Habich,Actor,Enemy at the Gates,12-Jan-1940,-
William Habington,Poet,Castara,04-Nov-1605,30-Nov-1654
Louis-Christophe-François Hachette,Publisher,French textbook publisher,05-May-1800,31-Jul-1864
Kirk S. Hachigian,Business,CEO of Cooper Industries,c. 1959,-
Jefferson Hack,Publisher,Editor of Dazed & Confused,20-Jun-1971,-
Shelley Hack,Actor,Replacement Charlie's Angel for 1 season,06-Jul-1947,-
Richard A. Hackborn,Business,Former HP Vice President,c. 1937,-
Douglas A. Hacker,Business,"EVP at United Air Lines, 1999-2006",1955,-
Marilyn Hacker,Poet,Presentation Piece,27-Nov-1942,-
Ann Fritz Hackett,Business,Horizon Consulting Group,c. 1954,-
Bobby Hackett,Jazz Musician,"Played with Glenn Miller, Jackie Gleason",31-Jan-1915,07-Jun-1976
Buddy Hackett,Comic,Abrasive old school comic,31-Aug-1924,30-Jun-2003
Grant Hackett,Swimmer,Australian distance swimmer,09-May-1980,-
James P. Hackett,Business,CEO of Steelcase,c. 1955,-
James T. Hackett,Business,CEO of Anadarko Petroleum,c. 1953,-
Joan Hackett,Actor,Only When I Laugh,01-Mar-1934,08-Oct-1983
Paul Hackett,Football,"USC Head Coach, 1998-2000",05-Jul-1947,-
Paul Hackett,Politician,"Former Marine, ran for Congress",30-Mar-1962,-
Raymond Hackett,Actor,Theater and silent film actor,15-Jul-1902,07-Jul-1958
Steve Hackett,Guitarist,"Guitarist for Genesis, 1970-7",12-Feb-1950,-
Taylor Hackford,Film Director,An Officer and a Gentleman,31-Dec-1944,-
Ian Hacking,Philosopher,The Taming of Chance,18-Feb-1936,-
Lloyd V. Hackley,Educator,Chancellor of Fayetteville State University,c. 1940,-
Gene Hackman,Actor,The Conversation,30-Jan-1930,-
Jacques-Salomon Hadamard,Mathematician,Prime number theorem,08-Dec-1865,17-Oct-1963
Rabih Haddad,Religion,"Deported imam, purported terrorist",1960,-
Tammy Haddad,Film/TV Producer,Hardball producer,c. 1957,-
Haddaway,Singer,What Is Love,09-Jan-1965,-
Harvey Haddix,Baseball,MLB pitcher,18-Sep-1925,08-Jan-1994
Margaret Peterson Haddix,Author,"Juvenile novelist, Among the... series",09-Apr-1964,-
Mark Haddon,Author,The Curious Incident,1962,-
Charlie Haden,Jazz Musician,Jazz bassist,06-Aug-1937,-
Pat Haden,Football,"LA Rams Quarterback, Investor",23-Jan-1953,-
Petra Haden,Violinist,Indie rock violinist,11-Oct-1971,-
Rachel Haden,Musician,One of the musical Haden triplets,11-Oct-1971,-
Sara Haden,Actor,The Shop Around the Corner,17-Nov-1899,15-Sep-1981
Bill Hader,Actor,Saturday Night Live,07-Jun-1978,-
Jerry Hadley,Singer,Operatic tenor,16-Jun-1952,18-Jul-2007
Reed Hadley,Actor,Radio star of Red Ryder,01-Jan-1911,11-Dec-1974
Stephen Hadley,Government,"National Security Advisor, 2005-09",13-Feb-1947,-
Tony Hadley,Singer,"Frontman, Spandau Ballet",02-Jun-1960,-
Hadrian,Royalty,"Roman Emperor, 117-138 AD",24-Jan-76 AD,10-Jul-138 AD
Ernst Haeckel,Zoologist,Proponent of evolution,16-Feb-1834,09-Aug-1919
Ludwig Haetzer,Religion,Translator of Prophets,c. 1500,04-Feb-1529
Hafez,Poet,Prominent Persian poet,1326,1389
David S. Haffner,Business,CEO of Leggett & Platt,c. 1953,-
"Joseph A. Hafner, Jr.",Business,"CEO of Riviana Foods, 1984-2005",c. 1945,-
Travis Hafner,Baseball,Cleveland Indians,03-Jun-1977,-
Kay Hagan,Politician,US Senator from North Carolina,26-May-1953,-
Molly Hagan,Actor,Angel on Herman's Head,03-Aug-1961,-
Sammy Hagar,Musician,Can't Drive 55,13-Oct-1947,-
Friedrich von Hagedorn,Poet,German Anacreontic poet,23-Apr-1708,28-Oct-1754
Jessica Hagedorn,Author,Dogeaters,1949,-
John Hagee,Religion,John Hagee Ministries,12-Apr-1940,-
Michael W. Hagee,Military,"33rd USMC Commandant, 2003-06",01-Dec-1944,-
Chuck Hagel,Politician,"US Senator from Nebraska, 1997-2009",04-Oct-1946,-
John Hagelin,Activist,Natural Law Party,09-Jun-1954,-
Rebecca Hagelin,Columnist,Heritage Foundation spokesperson,c. 1961,-
Jean Hagen,Actor,Singin' in the Rain,03-Aug-1923,29-Aug-1977
Kevin Hagen,Actor,Little House on the Prairie,03-Apr-1928,09-Jul-2005
Nina Hagen,Singer,Unbehagan,11-Mar-1955,-
Uta Hagen,Actor,Renowned thespian and acting teacher,12-Jun-1919,14-Jan-2004
Veronica M. Hagen,Business,Polymer Group,c. 1947,-
Walter Hagen,Golf,Won 11 major championships,21-Dec-1892,05-Oct-1969
Edward E. Hagenlocker,Business,"Vice Chairman of Ford, 1996-99",c. 1940,-
David Hager,Doctor,"Gynecologist, conservative activist",c. 1946,-
David A. Hager,Business,"COO of Kerr-McGee, 2005-06",14-Oct-1956,-
George Hager,Journalist,USA Today economics reporter,c. 1950,-
John H. Hager,Politician,"Lt. Governor of Virginia, 1998-2002",28-Aug-1936,-
James C. Hagerty,Government,Eisenhower's press secretary,09-May-1909,11-Apr-1981
Julie Hagerty,Actor,Airplane!,15-Jun-1955,-
Thomas M. Hagerty,Business,Thomas H. Lee Partners,c. 1963,-
John A. Hagg,Business,"Co-Founder, Canadian Northstar Corporation",c. 1946,-
E. R. Haggar,Business,President/CEO of Haggar Clothing Co.,18-Sep-1916,29-Sep-2004
H. Rider Haggard,Novelist,King Solomon's Mines,22-Jun-1856,14-May-1925
Merle Haggard,Country Musician,Okie From Muskogee,06-Apr-1937,-
Ted Haggard,Religion,Outed evangelist,27-Jun-1956,-
Charles A. Haggerty,Business,"CEO of Western Digital, 1993-2000",c. 1942,-
Dan Haggerty,Actor,Grizzly Adams,19-Nov-1941,-
Rosanne Haggerty,Administrator,Common Ground Community,c. 1960,-
Paul Haggis,Screenwriter,Crash,10-Mar-1953,-
Joe Hagin,Government,"White House Deputy Chief of Staff, 2001-08",06-Jan-1956,-
Marvin Hagler,Boxing,"Retired boxing champ, lives in Italy",23-May-1954,-
Dean Haglund,Actor,Langly on The X-Files,29-Jul-1965,-
Larry Hagman,Actor,J.R. Ewing on Dallas,21-Sep-1931,-
Garrick Hagon,Actor,Gavin Jones in The Adventurer,27-Sep-1939,-
D. Maybank Hagood,Business,William M. Bird & Co.,04-Aug-1961,-
Albert Hague,Composer,Redhead,13-Oct-1920,12-Nov-2001
William Hague,Politician,UK Foreign Secretary,26-Mar-1961,-
David Hahn,Inventor,Do-it-yourself nuclear reactor,30-Oct-1976,-
James K. Hahn,Politician,Mayor of Los Angeles 2001-05,03-Jul-1950,-
Janice Hahn,Politician,"Congresswoman, California 36th",30-Mar-1952,-
Jess Hahn,Actor,Topkapi,29-Oct-1921,29-Jun-1998
Jessica Hahn,Victim,Had sex with Jim Bakker,07-Jul-1959,-
Joseph Hahn,Disc Jockey,"Linkin Park DJ, video director",15-Mar-1977,-
Kathryn Hahn,Actor,Lily Lebowski on Crossing Jordan,23-Jul-1974,-
Otto Hahn,Chemist,Demonstrated fission,08-Mar-1879,28-Jul-1968
Samuel Hahnemann,Doctor,Founder of homeopathy,10-Apr-1755,02-Jul-1843
Charles Haid,Actor,Renko on Hill Street Blues,02-Jun-1943,-
Jörg Haider,Politician,Austrian extreme rightist,26-Jan-1950,11-Oct-2008
Stacy Haiduk,Actor,Seaquest DSV,24-Apr-1968,-
Alexander Haig,Government,"US Secretary of State, 1981-82",02-Dec-1924,20-Feb-2010
Douglas Haig,Military,British Field Marshall in WWI,19-Jun-1861,29-Jan-1928
Sid Haig,Actor,House of 1000 Corpses,14-Jul-1939,-
Arthur Hailey,Novelist,Hotel and Airport,05-Apr-1920,24-Nov-2004
Leisha Hailey,Singer,The L Word,11-Jul-1971,-
V. Ann Hailey,Business,Former EVP at Limited Brands,c. 1952,-
Corey Haim,Actor,The Lost Boys,23-Dec-1971,10-Mar-2010
Jules Haimovitz,Business,Dick Clark Productions,c. 1949,-
Peter Hain,Politician,"British MP, Neath",16-Feb-1950,-
Marshall B. Haines,Business,Tarrant Partners,c. 1968,-
Randa Haines,Film Director,Children of a Lesser God,20-Feb-1945,-
William Haines,Actor,Hollywood's first openly gay leading man,02-Jan-1900,26-Dec-1973
John E. Haire,Business,"EVP at Time, 2001-05",c. 1953,-
Fred Haise,Astronaut,Lunar Module Pilot on Apollo 13,14-Nov-1933,-
Bernard Haitink,Conductor,"Conductor, Chicago Symphony Orchestra",04-Mar-1929,-
Ralph F. Hake,Business,"CEO of Maytag, 2001-06",25-Jan-1949,-
Mika Häkkinen,Auto Racing,"Formula 1 World Champion, 1998-99",28-Sep-1968,-
Richard Hakluyt,Author,Voiages and Discoveries of the English nation,c. 1552,23-Nov-1616
Peter Paul Halajian,Business,Candy maker,1850,1927
George Halas,Football,Founder of the Chicago Bears,02-Feb-1895,31-Oct-1983
Paul S. Halata,Business,"CEO of Mercedes-Benz USA, 1999-2006",c. 1951,-
David Halberstam,Journalist,The Powers That Be,10-Apr-1934,23-Apr-2007
Elizabeth Sanderson Haldane,Author,Descartes: His Life and Times,27-May-1862,24-Dec-1937
J. B. S. Haldane,Biologist,Haldane's principle,05-Nov-1892,01-Dec-1964
John Scott Haldane,Doctor,Breathing regulated by CO2,03-May-1860,14-Mar-1936
Richard Burdon Haldane,Government,"Lord Chancellor, 1912-15 and 1924",30-Jul-1856,19-Aug-1928
H. R. Haldeman,Government,Nixon's Chief of Staff,27-Oct-1926,12-Nov-1993
Joe Haldeman,Novelist,The Forever War,09-Jun-1943,-
Franz Halder,Military,Nazi general,30-Jun-1884,02-Apr-1972
"Alan Hale, Sr.",Actor,The Adventures of Robin Hood,10-Feb-1892,22-Jan-1950
"Alan Hale, Jr.",Actor,The Skipper on Gilligan's Island,08-Mar-1921,02-Jan-1990
Barbara Hale,Actor,Della Street on Perry Mason,18-Apr-1921,-
David Hale,Diplomat,US Ambassador to Jordan,?,-
Edward Everett Hale,Author,The Man Without a Country,03-Apr-1822,10-Jun-1909
George Ellery Hale,Astronomer,"Palomar Observatory founder, astronomer",29-Jun-1868,21-Feb-1938
Horatio Hale,Anthropologist,Ethnologist studied polynesia,03-May-1817,28-Dec-1896
Jennifer Hale,Actor,Sam on Totally Spies!,30-Jan-1972,-
John Hale,Novelist,The Whistle Blower,05-Feb-1926,-
John Parker Hale,Politician,Anti-slavery US Senator from NH,31-Mar-1806,19-Dec-1873
Jonathan Hale,Actor,J. C. Dithers,21-Mar-1891,28-Feb-1966
Lucretia Peabody Hale,Author,The Peterkin Papers,02-Sep-1820,12-Jun-1900
Lucy Hale,Actor,Aria Montgomery on Pretty Little Liars,14-Jun-1989,-
Matt Hale,Religion,White supremacist,27-Jul-1971,-
Sir Matthew Hale,Judge,Lord Chief Justice of England,01-Nov-1609,25-Dec-1676
Nathan Hale,Spy,Had but one life to give for his country,1756,22-Sep-1776
Roger W. Hale,Business,"CEO of LG&E Energy, 1990-2001",c. 1943,-
Ruth Hale,Activist,Maiden name crusader,1886,18-Sep-1933
Sarah Josepha Hale,Author,"Editor, Godey's Lady's Book",24-Oct-1788,30-Apr-1879
Suzanne K. Hale,Diplomat,US Ambassador to Micronesia,21-Apr-1948,-
Tony Hale,Actor,Buster on Arrested Development,30-Sep-1970,-
Stephen Hales,Scientist,Statical Essays,07-Sep-1677,04-Jan-1761
Judah ben Samuel Halevi,Poet,Hebrew Poet of the Middle Ages,c. 1085,c. 1140
Efraim Halevy,Spy,"Head of the Mossad, 1998-2003",1934,-
Fromental Halévy,Composer,La Juive,27-May-1799,17-Mar-1862
Ludovic Halévy,Author,French vaudevillain author,01-Jan-1834,08-May-1908
Alex Haley,Novelist,Roots,11-Aug-1921,10-Feb-1992
Bill Haley,Musician,Rock Around the Clock,06-Jul-1925,09-Feb-1981
Charles Haley,Football,Five winning Superbowls,06-Jan-1964,-
Jack Haley,Actor,Tin Man on The Wizard of Oz,10-Aug-1898,06-Jun-1979
Jackie Earle Haley,Actor,Breaking Away,14-Jul-1961,-
John J. Haley,Business,CEO of Watson Wyatt Worldwide,c. 1950,-
Nikki Haley,Politician,Governor of South Carolina,20-Jan-1972,-
Roy W. Haley,Business,CEO of WESCO International,c. 1947,-
Todd Haley,Football,"Head Coach, Kansas City Chiefs, 2009-11",28-Feb-1967,-
Rob Halford,Musician,Lead singer of Judas Priest,25-Aug-1951,-
"Anthony W. Hall, Jr.",Politician,"CAO, Houston, TX",c. 1944,-
Adele Hall,Philanthropist,Hallmark Cards,?,-
Alaina Reed Hall,Actor,Sesame Street,10-Nov-1946,17-Dec-2009
Alexander Hall,Film Director,Here Comes Mr. Jordan,11-Jan-1894,30-Jul-1968
Anthony Michael Hall,Actor,Sixteen Candles,14-Apr-1968,-
Arsenio Hall,Talk Show Host,Former talk show host,12-Feb-1955,-
Asaph Hall,Astronomer,Discovered the moons of Mars,15-Oct-1829,22-Nov-1907
Brad Hall,Actor,Saturday Night Live,21-Mar-1958,-
Bridget Hall,Model,"Supermodel with IMG Models, Inc.",12-Dec-1977,-
Bug Hall,Actor,Alfalfa in Little Rascals remake,04-Feb-1985,-
Cynthia H. Hall,Judge,"9th Circuit Court of Appeals, 1984-97",19-Feb-1929,26-Feb-2011
Dante Hall,Football,St. Louis Rams Wide Receiver,20-Sep-1978,-
Daryl Hall,Singer/Songwriter,Half of Hall and Oates,11-Oct-1949,-
David Hall,Politician,"Governor of Oklahoma, 1971-75",20-Oct-1930,-
Deidre Hall,Actor,Days of Our Lives,31-Oct-1947,-
Donald Hall,Poet,The One Day,20-Sep-1928,-
Donald J. Hall,Business,"CEO of Hallmark, 1966-86",09-Jul-1928,-
Edward Hall,Historian,English chronicler,c. 1495,1547
Edward T. Hall,Anthropologist,The Silent Language,16-May-1914,20-Jul-2009
Edwin Hall,Physicist,Discovered the Hall Effect,07-Nov-1855,20-Nov-1938
Fawn Hall,Government,Shredded Ollie North's documents,1959,-
Glenn Hall,Hockey,"Mr. Goalie, NHL Hall of Famer",03-Oct-1931,-
Grayson Hall,Actor,The Night of the Iguana,18-Sep-1922,07-Aug-1985
Gus Hall,Activist,"Leader, Communist Party USA",08-Oct-1910,13-Oct-2000
H. Tracy Hall,Chemist,Synthetic diamonds,20-Oct-1919,25-Jul-2008
Huntz Hall,Actor,Dead End Kids,15-Aug-1919,30-Jan-1999
Ira D. Hall,Business,Utendahl Capital Management,c. 1945,-
Irma P. Hall,Actor,Soul Food,03-Jun-1935,-
James Hall,Actor,Hell's Angels,22-Oct-1900,07-Jun-1940
Jane Hall,Journalist,Fox News Watch commentator,?,-
Jerry Hall,Model,Second wife of Mick Jagger,02-Jul-1956,-
Joe B. Hall,Basketball,"Kentucky Head Coach, 1972-85",30-Nov-1928,-
John Hall,Politician,"Congressman from New York, 2007-11",23-Jul-1948,-
John L. Hall,Physicist,Quantum optics,21-Aug-1934,-
John R. Hall,Business,"CEO of Ashland, 1981-96",c. 1933,-
Jon Hall,Actor,The Hurricane,23-Feb-1915,13-Dec-1979
Joseph Hall,Author,Virgidemiarum,01-Jul-1574,08-Sep-1656
Joyce C. Hall,Business,Founder of Hallmark Cards,29-Aug-1891,29-Oct-1982
Kathryn Walt Hall,Diplomat,"US Ambassador to Austria, 1997-2001",1947,-
Katie Hall,Politician,"Congresswoman from Indiana, 1982-85",03-Apr-1938,20-Feb-2012
Kevin Peter Hall,Actor,Predator,09-May-1955,10-Apr-1991
Lani Hall,Musician,The voice of Brasil '66,06-Nov-1948,-
Manly P. Hall,Paranormal,The Secret Teachings of All Ages,18-Mar-1901,29-Aug-1990
Marshall Hall,Doctor,Theory of reflex action,18-Feb-1790,11-Aug-1857
Michael C. Hall,Actor,David Fisher on Six Feet Under,01-Feb-1971,-
Monty Hall,Game Show Host,Let's Make a Deal,25-Aug-1921,-
Peter Hall,Theater Director,Work Is a 4-Letter Word,22-Nov-1930,-
Peter W. Hall,Judge,2nd Circuit Court of Appeals,09-Nov-1948,-
Philip Baker Hall,Actor,Magnolia,10-Sep-1931,-
Pooch Hall,Actor,Derwin Davis on The Game,08-Feb-1976,-
Porter Hall,Actor,Going My Way,19-Sep-1888,06-Oct-1953
Ralph Hall,Politician,"Congressman, Texas 4th",03-May-1923,-
Rebecca Hall,Actor,Vicky Cristina Barcelona,03-May-1982,-
Regina Hall,Actor,Scary Movie,12-Dec-1970,-
Rich Hall,Comic,Creator of Sniglets,1954,-
Rob Hall,Business,Adventure Consultants,14-Jan-1961,11-May-1996
Robert David Hall,Actor,Dr. Al Robbins on CSI,09-Nov-1947,-
Ruth Hall,Actor,Monkey Business,29-Dec-1910,09-Oct-2003
Tamron Hall,Journalist,NewsNation with Tamron Hall,16-Sep-1970,-
Thurston Hall,Actor,Mr. Schuyler on Topper,10-May-1882,20-Feb-1958
Tom T. Hall,Country Musician,Harper Valley PTA,25-May-1936,-
Tony P. Hall,Politician,"Congressman from Ohio, 1979-2002",16-Jan-1942,-
Vera Hall,Singer,Troubled So Hard,1902,1964
Virginia Hall,Spy,American spy,06-Apr-1906,14-Jul-1982
William K. Hall,Business,"CEO of Procyon Technologies, 2000-03",c. 1943,-
Brian L. Halla,Business,CEO of National Semiconductor,c. 1947,-
Henry Hallam,Historian,View of the Middle Ages,09-Jul-1777,21-Jan-1859
Sir Charles Hallé,Pianist,"Founder, Hallé Orchestra",11-Apr-1819,25-Oct-1895
Henry W. Halleck,Military,"Commander of US Army, 1862-64",16-Jan-1815,09-Jan-1872
Albrecht von Haller,Doctor,Elementa Physiologiae Corporis Humani,16-Oct-1708,12-Dec-1777
Edmund Halley,Astronomer,Predicted return of Halley's Comet,08-Nov-1656,14-Jan-1742
Erle P. Halliburton,Business,Founder of Halliburton,22-Sep-1891,13-Oct-1957
John Halliday,Actor,The Philadelphia Story,14-Sep-1880,17-Oct-1947
Andrew Smith Hallidie,Inventor,Designed the first cable car system,16-Mar-1836,24-Apr-1900
Geri Halliwell,Singer,Ginger Spice,06-Aug-1972,-
Michael R. Hallman,Business,"President and COO of Microsoft, 1990-92",c. 1944,-
Lasse Hallstrom,Film Director,My Life as a Dog,02-Jun-1946,-
Johnny Hallyday,Singer,"French rock star, Souvenirs, Souvenirs",15-Jun-1943,-
Tarja Halonen,Head of State,President of Finland,24-Dec-1943,-
Billy Halop,Actor,Dead End Kid,11-Feb-1920,09-Nov-1976
Florence Halop,Actor,Florence Kleiner on Night Court,23-Jan-1923,15-Jul-1986
David M. Halperin,Scholar,One Hundred Years of Homosexuality,02-Apr-1952,-
Mark Halperin,Journalist,TIME senior political analyst,11-Jan-1965,-
Victor Halperin,Film Director,White Zombie,24-Aug-1895,17-May-1983
Cheryl F. Halpern,Government,Corporation for Public Broadcasting,?,-
Luke Halpin,Actor,Sandy Ricks on Flipper,04-Apr-1947,-
Frans Hals,Painter,Dutch portraitist,1580,29-Aug-1666
Brett Halsey,Actor,The Young and the Restless,20-Jun-1933,-
Frederick A. Halsey,Engineer,Kept America safe from the metric system,12-Jul-1856,20-Oct-1935
William F. Halsey,Military,WWII Commander of the South Pacific,30-Oct-1882,20-Aug-1959
William Stewart Halsted,Doctor,Pioneer of sterile surgical technique,23-Sep-1852,07-Sep-1922
Bill Halter,Politician,Lt. Governor of Arkansas,30-Nov-1960,-
Charles Halton,Actor,Bespectacled character actor,16-Mar-1876,16-Apr-1959
Steven T. Halverson,Business,CEO of The Haskell Company,c. 1954,-
Gail Halvorsen,Military,Berlin Airlift candy bomber,10-Oct-1920,-
Debbie Halvorson,Politician,"Congresswoman from Illinois, 2009-11",01-Mar-1958,-
Greg Ham,Musician,Wind and keyboards for Men at Work,27-Sep-1953,19-Apr-2012
Jack Ham,Football,"Linebacker, NFL Hall of Famer",23-Dec-1948,-
Mary Katharine Ham,Journalist,HamNation,05-Apr-1980,-
Johann Georg Hamann,Philosopher,German theological thinker,27-Aug-1730,21-Jun-1788
Ayumi Hamasaki,Singer,Japanese Madonna,02-Oct-1978,-
Hambali,Terrorist,Leader of Jemaah Islamiah,04-Apr-1966,-
Mark G. Hambley,Diplomat,"US Ambassador to Lebanon, 1993-94",12-Feb-1948,-
William R. Hambrecht,Business,W.R. Hambrecht & Co.,c. 1935,-
James L. Hambrick,Business,CEO of Lubrizol,c. 1954,-
Daniel Hamburg,Politician,"Congressman from California, 1993-95",06-Oct-1948,-
Marc D. Hamburg,Business,CFO of Berkshire Hathaway,c. 1950,-
Margaret A. Hamburg,Government,FDA Commissioner,1955,-
Veronica Hamel,Actor,Joyce Davenport on Hill Street Blues,20-Nov-1943,-
Stefan Hamelmann,Business,Franz Hamelmann Baugesellschaft,c. 1964,-
Fannie Lou Hamer,Activist,"Organizer, Mississippi Freedom Summer",06-Oct-1917,14-Mar-1977
Robert Hamer,Film Director,Kind Hearts and Coronets,31-Mar-1911,04-Dec-1963
Rusty Hamer,Actor,Make Room for Daddy,15-Feb-1947,18-Jan-1990
Robert Hamerling,Poet,Ahasver in Rom,24-Mar-1830,13-Jul-1889
Hamilcar,Military,First Punic War,c. 270 BC,c. 228 BC
Dorothy Hamill,Figure Skating,"Olympic figure skater, gold medal 1976",26-Jul-1956,-
John P. Hamill,Business,Sovereign Bank New England,c. 1941,-
Mark Hamill,Actor,Luke Skywalker in Star Wars,25-Sep-1951,-
Pete Hamill,Journalist,The New York Post,24-Jun-1935,-
Alexander Hamilton,Government,Primary author of The Federalist Papers,11-Jan-1757,12-Jul-1804
Ashley Hamilton,Socialite,Son of George Hamilton,30-Sep-1974,-
Bernie Hamilton,Actor,Capt. Dobey on Starsky and Hutch,12-Jun-1928,30-Dec-2008
Bob Hamilton,Golf,"Winner, 1944 PGA Championship",10-Jan-1916,06-Dec-1990
Bobby Hamilton,Auto Racing,"NASCAR driver, 1988-2006",29-May-1957,07-Jan-2007
Edith Hamilton,Educator,The Greek Way,12-Aug-1867,31-May-1963
Emma Hamilton,Relative,Mistress of Lord Nelson,1765,15-Jan-1815
Gail E. Hamilton,Business,Former EVP at Symantec,c. 1951,-
George Hamilton,Actor,Well-tanned celebrity,12-Aug-1939,-
Guy Hamilton,Film Director,Goldfinger,16-Sep-1922,-
John Maxwell Hamilton,Author,Journalism's Roving Eye,28-Mar-1947,-
John R. Hamilton,Diplomat,"US Ambassador to Guatemala, 2003-05",1944,-
Josh Hamilton,Actor,Alive,09-Jun-1969,-
Judith H. Hamilton,Business,"CEO of Classroom Connect, 1999-2002",c. 1945,-
Kim Hamilton,Actor,Odds Against Tomorrow,1945,-
Laurell K. Hamilton,Novelist,"Anita Blake, Vampire Hunter series",19-Feb-1963,-
Lee H. Hamilton,Politician,9/11 Commission vice chairman,20-Apr-1931,-
Leonard Hamilton,Basketball,FSU Head Coach,c. 1949,-
Lewis Hamilton,Auto Racing,Formula 1 Racer,07-Jan-1985,-
Linda Hamilton,Actor,Terminator,26-Sep-1956,-
Lisa Gay Hamilton,Actor,Rebecca Washington in The Practice,25-Mar-1964,-
Lynn Hamilton,Actor,Donna Harris on Sanford and Son,25-Apr-1930,-
Margaret Hamilton,Actor,Wicked Witch of the West,09-Dec-1902,16-May-1985
Murray Hamilton,Actor,Jaws,24-Mar-1923,01-Sep-1986
Neil Hamilton,Actor,Commissioner Gordon on Batman,09-Sep-1899,24-Sep-1984
Patrick Hamilton,Religion,Scottish Lutheran martyr,1504,29-Feb-1528
Patrick Hamilton,Playwright,Gaslight,17-Mar-1904,23-Sep-1962
